_dt,location,trend,tweet_volume
2017-08-20T21:00:13.151Z,San Jose,Joss Whedon,
2017-08-20T21:00:13.235Z,Mesa,Joss Whedon,
2017-08-20T21:00:13.240Z,New Haven,Joss Whedon,
2017-08-20T22:00:03.949Z,Birmingham,Joss Whedon,
2017-08-20T22:00:04.921Z,Glasgow,Joss Whedon,
2017-08-20T22:00:05.028Z,Plymouth,Joss Whedon,
2017-08-20T22:00:05.122Z,Brighton,Joss Whedon,
2017-08-20T22:00:05.187Z,Stoke-on-Trent,Joss Whedon,
2017-08-20T22:00:05.278Z,Swansea,Joss Whedon,
2017-08-20T22:00:05.372Z,Bristol,Joss Whedon,
2017-08-20T22:00:05.559Z,Liverpool,Joss Whedon,
2017-08-20T22:00:05.647Z,London,Joss Whedon,
2017-08-20T22:00:05.753Z,Bournemouth,Joss Whedon,
2017-08-20T22:00:05.864Z,Coventry,Joss Whedon,
2017-08-20T22:00:05.998Z,Nottingham,Joss Whedon,
2017-08-20T22:00:06.077Z,Edinburgh,Joss Whedon,
2017-08-20T22:00:06.114Z,Cardiff,Joss Whedon,
2017-08-20T22:00:06.184Z,Brest,Joss Whedon,
2017-08-20T22:00:06.243Z,Leeds,Joss Whedon,
2017-08-20T22:00:06.327Z,Portsmouth,Joss Whedon,
2017-08-20T22:00:06.338Z,Preston,Joss Whedon,
2017-08-20T22:00:06.372Z,Manchester,Joss Whedon,
2017-08-20T22:00:06.487Z,Middlesbrough,Joss Whedon,
2017-08-20T22:00:06.636Z,Newcastle,Joss Whedon,
2017-08-20T22:00:07.471Z,Belfast,Joss Whedon,
2017-08-20T22:00:07.564Z,Sheffield,Joss Whedon,
2017-08-20T22:00:07.616Z,Grodno,Joss Whedon,
2017-08-20T22:00:09.255Z,Leicester,Joss Whedon,
2017-08-20T22:00:09.278Z,Derby,Joss Whedon,
2017-08-20T22:00:09.292Z,Hull,Joss Whedon,
2017-08-20T22:00:09.305Z,Blackpool,Joss Whedon,
2017-08-20T22:00:09.414Z,Norfolk,Joss Whedon,
2017-08-20T22:00:09.568Z,Minneapolis,Joss Whedon,
2017-08-20T22:00:09.582Z,Ho Chi Minh City,Joss Whedon,
2017-08-20T22:00:09.606Z,Phoenix,Joss Whedon,
2017-08-20T22:00:09.618Z,Can Tho,Joss Whedon,
2017-08-20T22:00:09.669Z,San Diego,Joss Whedon,
2017-08-20T22:00:09.696Z,Jacksonville,Joss Whedon,
2017-08-20T22:00:09.743Z,Hai Phong,Joss Whedon,
2017-08-20T22:00:09.896Z,Minsk,Joss Whedon,
2017-08-20T22:00:09.915Z,Colorado Springs,Joss Whedon,
2017-08-20T22:00:10.007Z,Baltimore,Joss Whedon,
2017-08-20T22:00:10.045Z,Gomel,Joss Whedon,
2017-08-20T22:00:10.366Z,Atlanta,Joss Whedon,
2017-08-20T22:00:10.417Z,Greensboro,Joss Whedon,
2017-08-20T22:00:10.433Z,Chicago,Joss Whedon,
2017-08-20T22:00:10.505Z,Harrisburg,Joss Whedon,
2017-08-20T22:00:10.593Z,Dallas-Ft. Worth,Joss Whedon,
2017-08-20T22:00:10.611Z,Hanoi,Joss Whedon,
2017-08-20T22:00:10.658Z,Boston,Joss Whedon,
2017-08-20T22:00:10.826Z,San Antonio,Joss Whedon,
2017-08-20T22:00:10.865Z,Nashville,Joss Whedon,
2017-08-20T22:00:10.869Z,New York,Joss Whedon,
2017-08-20T22:00:10.918Z,Kansas City,Joss Whedon,
2017-08-20T22:00:10.985Z,Jackson,Joss Whedon,
2017-08-20T22:00:11.055Z,Da Nang,Joss Whedon,
2017-08-20T22:00:11.142Z,Long Beach,Joss Whedon,
2017-08-20T22:00:11.245Z,Austin,Joss Whedon,
2017-08-20T22:00:11.255Z,San Jose,Joss Whedon,
2017-08-20T22:00:11.333Z,Washington,Joss Whedon,
2017-08-20T22:00:11.351Z,Raleigh,Joss Whedon,
2017-08-20T22:00:11.384Z,Birmingham,Joss Whedon,
2017-08-20T22:00:11.398Z,Tucson,Joss Whedon,
2017-08-20T22:00:11.420Z,Indianapolis,Joss Whedon,
2017-08-20T22:00:11.439Z,Seattle,Joss Whedon,
2017-08-20T22:00:11.490Z,Tampa,Joss Whedon,
2017-08-20T22:00:11.512Z,Fresno,Joss Whedon,
2017-08-20T22:00:11.536Z,Albuquerque,Joss Whedon,
2017-08-20T22:00:11.561Z,Houston,Joss Whedon,
2017-08-20T22:00:11.609Z,Miami,Joss Whedon,
2017-08-20T22:00:11.618Z,Baton Rouge,Joss Whedon,
2017-08-20T22:00:11.625Z,Charlotte,Joss Whedon,
2017-08-20T22:00:11.657Z,Portland,Joss Whedon,
2017-08-20T22:00:11.738Z,El Paso,Joss Whedon,
2017-08-20T22:00:11.753Z,Omaha,Joss Whedon,
2017-08-20T22:00:11.802Z,Cincinnati,Joss Whedon,
2017-08-20T22:00:11.889Z,Columbus,Joss Whedon,
2017-08-20T22:00:11.914Z,Las Vegas,Joss Whedon,
2017-08-20T22:00:11.918Z,St. Louis,Joss Whedon,
2017-08-20T22:00:11.934Z,Detroit,Joss Whedon,
2017-08-20T22:00:11.949Z,Philadelphia,Joss Whedon,
2017-08-20T22:00:11.951Z,Puerto Rico,Joss Whedon,
2017-08-20T22:00:11.954Z,Sacramento,Joss Whedon,
2017-08-20T22:00:12.034Z,New Haven,Joss Whedon,
